# Average annual utilization of renewable technologies, calculated using regional solar irradiance data and wind resource curves to adjust default assumptions
region,supplysector,subsector,stub.technology,year,capacity.factor
Russia,electricity,wind,wind_storage,1975,0.38
Russia,electricity,wind,wind_storage,1990,0.38
Russia,electricity,wind,wind_storage,2005,0.38
Russia,electricity,wind,wind_storage,2010,0.38
Russia,electricity,wind,wind_storage,2015,0.38
Russia,electricity,wind,wind_storage,2020,0.38
Russia,electricity,wind,wind_storage,2025,0.38
Russia,electricity,wind,wind_storage,2030,0.38
Russia,electricity,wind,wind_storage,2035,0.38
Russia,electricity,wind,wind_storage,2040,0.38
Russia,electricity,wind,wind_storage,2045,0.38
Russia,electricity,wind,wind_storage,2050,0.38
Russia,electricity,wind,wind_storage,2055,0.38
Russia,electricity,wind,wind_storage,2060,0.38
Russia,electricity,wind,wind_storage,2065,0.38
Russia,electricity,wind,wind_storage,2070,0.38
Russia,electricity,wind,wind_storage,2075,0.38
Russia,electricity,wind,wind_storage,2080,0.38
Russia,electricity,wind,wind_storage,2085,0.38
Russia,electricity,wind,wind_storage,2090,0.38
Russia,electricity,wind,wind_storage,2095,0.38
Russia,electricity,wind,wind_storage,2100,0.38
Canada,electricity,wind,wind_storage,1975,0.39
Canada,electricity,wind,wind_storage,1990,0.39
Canada,electricity,wind,wind_storage,2005,0.39
Canada,electricity,wind,wind_storage,2010,0.39
Canada,electricity,wind,wind_storage,2015,0.39
Canada,electricity,wind,wind_storage,2020,0.39
Canada,electricity,wind,wind_storage,2025,0.39
Canada,electricity,wind,wind_storage,2030,0.39
Canada,electricity,wind,wind_storage,2035,0.39
Canada,electricity,wind,wind_storage,2040,0.39
Canada,electricity,wind,wind_storage,2045,0.39
Canada,electricity,wind,wind_storage,2050,0.39
Canada,electricity,wind,wind_storage,2055,0.39
Canada,electricity,wind,wind_storage,2060,0.39
Canada,electricity,wind,wind_storage,2065,0.39
Canada,electricity,wind,wind_storage,2070,0.39
Canada,electricity,wind,wind_storage,2075,0.39
Canada,electricity,wind,wind_storage,2080,0.39
Canada,electricity,wind,wind_storage,2085,0.39
Canada,electricity,wind,wind_storage,2090,0.39
Canada,electricity,wind,wind_storage,2095,0.39
Canada,electricity,wind,wind_storage,2100,0.39
USA,electricity,wind,wind_storage,1975,0.38
USA,electricity,wind,wind_storage,1990,0.38
USA,electricity,wind,wind_storage,2005,0.38
USA,electricity,wind,wind_storage,2010,0.38
USA,electricity,wind,wind_storage,2015,0.38
USA,electricity,wind,wind_storage,2020,0.38
USA,electricity,wind,wind_storage,2025,0.38
USA,electricity,wind,wind_storage,2030,0.38
USA,electricity,wind,wind_storage,2035,0.38
USA,electricity,wind,wind_storage,2040,0.38
USA,electricity,wind,wind_storage,2045,0.38
USA,electricity,wind,wind_storage,2050,0.38
USA,electricity,wind,wind_storage,2055,0.38
USA,electricity,wind,wind_storage,2060,0.38
USA,electricity,wind,wind_storage,2065,0.38
USA,electricity,wind,wind_storage,2070,0.38
USA,electricity,wind,wind_storage,2075,0.38
USA,electricity,wind,wind_storage,2080,0.38
USA,electricity,wind,wind_storage,2085,0.38
USA,electricity,wind,wind_storage,2090,0.38
USA,electricity,wind,wind_storage,2095,0.38
USA,electricity,wind,wind_storage,2100,0.38
China,electricity,wind,wind_storage,1975,0.39
China,electricity,wind,wind_storage,1990,0.39
China,electricity,wind,wind_storage,2005,0.39
China,electricity,wind,wind_storage,2010,0.39
China,electricity,wind,wind_storage,2015,0.39
China,electricity,wind,wind_storage,2020,0.39
China,electricity,wind,wind_storage,2025,0.39
China,electricity,wind,wind_storage,2030,0.39
China,electricity,wind,wind_storage,2035,0.39
China,electricity,wind,wind_storage,2040,0.39
China,electricity,wind,wind_storage,2045,0.39
China,electricity,wind,wind_storage,2050,0.39
China,electricity,wind,wind_storage,2055,0.39
China,electricity,wind,wind_storage,2060,0.39
China,electricity,wind,wind_storage,2065,0.39
China,electricity,wind,wind_storage,2070,0.39
China,electricity,wind,wind_storage,2075,0.39
China,electricity,wind,wind_storage,2080,0.39
China,electricity,wind,wind_storage,2085,0.39
China,electricity,wind,wind_storage,2090,0.39
China,electricity,wind,wind_storage,2095,0.39
China,electricity,wind,wind_storage,2100,0.39
Brazil,electricity,wind,wind_storage,1975,0.35
Brazil,electricity,wind,wind_storage,1990,0.35
Brazil,electricity,wind,wind_storage,2005,0.35
Brazil,electricity,wind,wind_storage,2010,0.35
Brazil,electricity,wind,wind_storage,2015,0.35
Brazil,electricity,wind,wind_storage,2020,0.35
Brazil,electricity,wind,wind_storage,2025,0.35
Brazil,electricity,wind,wind_storage,2030,0.35
