# Coefficients are calculated using L1321.IO_GJkg_R_cement_F_Yh
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name
USA,cement,cement,cement,2010,elect_td_ind,5.148e-4,USA
Africa_Eastern,cement,cement,cement,2010,elect_td_ind,4.068e-4,Africa_Eastern
Africa_Northern,cement,cement,cement,2010,elect_td_ind,4.068e-4,Africa_Northern
Africa_Southern,cement,cement,cement,2010,elect_td_ind,4.068e-4,Africa_Southern
Africa_Western,cement,cement,cement,2010,elect_td_ind,4.068e-4,Africa_Western
Australia_NZ,cement,cement,cement,2010,elect_td_ind,4.068e-4,Australia_NZ
Brazil,cement,cement,cement,2010,elect_td_ind,3.96e-4,Brazil
Canada,cement,cement,cement,2010,elect_td_ind,5.076e-4,Canada
Central America and Caribbean,cement,cement,cement,2010,elect_td_ind,4.068e-4,Central America and Caribbean
Central Asia,cement,cement,cement,2010,elect_td_ind,4.068e-4,Central Asia
China,cement,cement,cement,2010,elect_td_ind,4.212e-4,China
EU-12,cement,cement,cement,2010,elect_td_ind,4.068e-4,EU-12
EU-15,cement,cement,cement,2010,elect_td_ind,3.84e-4,EU-15
Europe_Eastern,cement,cement,cement,2010,elect_td_ind,4.068e-4,Europe_Eastern
Europe_Non_EU,cement,cement,cement,2010,elect_td_ind,4.068e-4,Europe_Non_EU
European Free Trade Association,cement,cement,cement,2010,elect_td_ind,4.068e-4,European Free Trade Association
India,cement,cement,cement,2010,elect_td_ind,3.24e-4,India
Indonesia,cement,cement,cement,2010,elect_td_ind,4.068e-4,Indonesia
Japan,cement,cement,cement,2010,elect_td_ind,3.636e-4,Japan
Mexico,cement,cement,cement,2010,elect_td_ind,4.248e-4,Mexico
Middle East,cement,cement,cement,2010,elect_td_ind,4.068e-4,Middle East
Pakistan,cement,cement,cement,2010,elect_td_ind,4.068e-4,Pakistan
Russia,cement,cement,cement,2010,elect_td_ind,4.068e-4,Russia
South Africa,cement,cement,cement,2010,elect_td_ind,4.068e-4,South Africa
South America_Northern,cement,cement,cement,2010,elect_td_ind,4.068e-4,South America_Northern
South America_Southern,cement,cement,cement,2010,elect_td_ind,4.068e-4,South America_Southern
South Asia,cement,cement,cement,2010,elect_td_ind,4.068e-4,South Asia
South Korea,cement,cement,cement,2010,elect_td_ind,3.744e-4,South Korea
Southeast Asia,cement,cement,cement,2010,elect_td_ind,4.068e-4,Southeast Asia
Taiwan,cement,cement,cement,2010,elect_td_ind,4.212e-4,Taiwan
Argentina,cement,cement,cement,2010,elect_td_ind,4.068e-4,Argentina
Colombia,cement,cement,cement,2010,elect_td_ind,4.068e-4,Colombia
USA,cement,cement,cement,1975,elect_td_ind,5.292e-4,USA
USA,cement,cement,cement,1990,elect_td_ind,5.292e-4,USA
USA,cement,cement,cement,2005,elect_td_ind,5.148e-4,USA
Africa_Eastern,cement,cement,cement,1975,elect_td_ind,4.248e-4,Africa_Eastern
Africa_Eastern,cement,cement,cement,1990,elect_td_ind,4.248e-4,Africa_Eastern
Africa_Eastern,cement,cement,cement,2005,elect_td_ind,4.068e-4,Africa_Eastern
Africa_Northern,cement,cement,cement,1975,elect_td_ind,4.248e-4,Africa_Northern
Africa_Northern,cement,cement,cement,1990,elect_td_ind,4.248e-4,Africa_Northern
Africa_Northern,cement,cement,cement,2005,elect_td_ind,4.068e-4,Africa_Northern
Africa_Southern,cement,cement,cement,1975,elect_td_ind,4.248e-4,Africa_Southern
Africa_Southern,cement,cement,cement,1990,elect_td_ind,4.248e-4,Africa_Southern
Africa_Southern,cement,cement,cement,2005,elect_td_ind,4.068e-4,Africa_Southern
Africa_Western,cement,cement,cement,1975,elect_td_ind,4.248e-4,Africa_Western
Africa_Western,cement,cement,cement,1990,elect_td_ind,4.248e-4,Africa_Western
Africa_Western,cement,cement,cement,2005,elect_td_ind,4.068e-4,Africa_Western
Australia_NZ,cement,cement,cement,1975,elect_td_ind,4.248e-4,Australia_NZ
Australia_NZ,cement,cement,cement,1990,elect_td_ind,4.248e-4,Australia_NZ
Australia_NZ,cement,cement,cement,2005,elect_td_ind,4.068e-4,Australia_NZ
Brazil,cement,cement,cement,1975,elect_td_ind,4.14e-4,Brazil
Brazil,cement,cement,cement,1990,elect_td_ind,4.14e-4,Brazil
Brazil,cement,cement,cement,2005,elect_td_ind,3.96e-4,Brazil
Canada,cement,cement,cement,1975,elect_td_ind,5.652e-4,Canada
Canada,cement,cement,cement,1990,elect_td_ind,5.652e-4,Canada
Canada,cement,cement,cement,2005,elect_td_ind,5.076e-4,Canada
Central America and Caribbean,cement,cement,cement,1975,elect_td_ind,4.248e-4,Central America and Caribbean
Central America and Caribbean,cement,cement,cement,1990,elect_td_ind,4.248e-4,Central America and Caribbean
Central America and Caribbean,cement,cement,cement,2005,elect_td_ind,4.068e-4,Central America and Caribbean
Central Asia,cement,cement,cement,1975,elect_td_ind,4.248e-4,Central Asia
Central Asia,cement,cement,cement,1990,elect_td_ind,4.248e-4,Central Asia
Central Asia,cement,cement,cement,2005,elect_td_ind,4.068e-4,Central Asia
China,cement,cement,cement,1975,elect_td_ind,4.32e-4,China
China,cement,cement,cement,1990,elect_td_ind,4.32e-4,China
China,cement,cement,cement,2005,elect_td_ind,4.212e-4,China
EU-12,cement,cement,cement,1975,elect_td_ind,4.248e-4,EU-12
