# Written by LA1231.electech.R
# Inputs are calculated based on L123.in_EJ_R_elec_F_Yh and calibrated_techs. For gas technologies, the share of each has was estimated
GCAM_region_ID,sector,fuel,technology,year,value
1,electricity generation,biomass,biomass (conv),1971,0.0025953200000000004
1,electricity generation,biomass,biomass (conv),1972,0.00284648
1,electricity generation,biomass,biomass (conv),1973,0.0029720600000000003
1,electricity generation,biomass,biomass (conv),1974,0.0026371800000000003
1,electricity generation,biomass,biomass (conv),1975,0.00200928
1,electricity generation,biomass,biomass (conv),1976,0.0028046200000000003
1,electricity generation,biomass,biomass (conv),1977,0.005065060000000001
1,electricity generation,biomass,biomass (conv),1978,0.0035581000000000002
1,electricity generation,biomass,biomass (conv),1979,0.0052325
1,electricity generation,biomass,biomass (conv),1980,0.00456274
1,electricity generation,biomass,biomass (conv),1981,0.00393484
1,electricity generation,biomass,biomass (conv),1982,0.0018837
1,electricity generation,biomass,biomass (conv),1983,0.0028046200000000003
1,electricity generation,biomass,biomass (conv),1984,0.0036836800000000004
1,electricity generation,biomass,biomass (conv),1985,0.01481844
1,electricity generation,biomass,biomass (conv),1986,0.013102180000000001
1,electricity generation,biomass,biomass (conv),1987,0.01649284
1,electricity generation,biomass,biomass (conv),1988,0.01871142
1,electricity generation,biomass,biomass (conv),1989,0.026664820000000002
1,electricity generation,biomass,biomass (conv),1990,0.39314912
1,electricity generation,biomass,biomass (conv),1991,0.38548874000000005
1,electricity generation,biomass,biomass (conv),1992,0.42169764
1,electricity generation,biomass,biomass (conv),1993,0.29913156
1,electricity generation,biomass,biomass (conv),1994,0.34400548000000003
1,electricity generation,biomass,biomass (conv),1995,0.38109344
1,electricity generation,biomass,biomass (conv),1996,0.40252576
1,electricity generation,biomass,biomass (conv),1997,0.39373516000000003
1,electricity generation,biomass,biomass (conv),1998,0.37293074000000004
1,electricity generation,biomass,biomass (conv),1999,0.39566072
1,electricity generation,biomass,biomass (conv),2000,0.40143740000000006
1,electricity generation,biomass,biomass (conv),2001,0.39963742
1,electricity generation,biomass,biomass (conv),2002,0.47950630000000005
1,electricity generation,biomass,biomass (conv),2003,0.4941573
1,electricity generation,biomass,biomass (conv),2004,0.49105966
1,electricity generation,biomass,biomass (conv),2005,0.49654332
1,electricity generation,biomass,biomass (conv),2006,0.49294336
1,electricity generation,biomass,biomass (conv),2007,0.49838516000000005
1,electricity generation,biomass,biomass (conv),2008,0.5070920400000001
1,electricity generation,biomass,biomass (conv),2009,0.49549682
1,electricity generation,biomass,biomass (conv),2010,0.5138315
1,electricity generation,coal,coal (conv pul),1971,7.63991046
1,electricity generation,coal,coal (conv pul),1972,8.397116
1,electricity generation,coal,coal (conv pul),1973,9.079978180000001
1,electricity generation,coal,coal (conv pul),1974,9.11861496
1,electricity generation,coal,coal (conv pul),1975,9.429341740000002
1,electricity generation,coal,coal (conv pul),1976,10.32820152
1,electricity generation,coal,coal (conv pul),1977,10.99762664
1,electricity generation,coal,coal (conv pul),1978,10.685644060000001
1,electricity generation,coal,coal (conv pul),1979,11.43033346
1,electricity generation,coal,coal (conv pul),1980,12.225087420000001
1,electricity generation,coal,coal (conv pul),1981,12.82021104
1,electricity generation,coal,coal (conv pul),1982,12.730044600000001
1,electricity generation,coal,coal (conv pul),1983,13.34584706
1,electricity generation,coal,coal (conv pul),1984,14.07295526
1,electricity generation,coal,coal (conv pul),1985,14.702655240000002
1,electricity generation,coal,coal (conv pul),1986,14.477281000000001
1,electricity generation,coal,coal (conv pul),1987,15.217533240000002
1,electricity generation,coal,coal (conv pul),1988,15.95133904
1,electricity generation,coal,coal (conv pul),1989,16.06833774
1,electricity generation,coal,coal (conv pul),1990,16.39597596
1,electricity generation,coal,coal (conv pul),1991,16.29601428
1,electricity generation,coal,coal (conv pul),1992,16.92663518
1,electricity generation,coal,coal (conv pul),1993,17.560730460000002
1,electricity generation,coal,coal (conv pul),1994,17.61192524
1,electricity generation,coal,coal (conv pul),1995,18.23342066
1,electricity generation,coal,coal (conv pul),1996,19.0475558
1,electricity generation,coal,coal (conv pul),1997,19.83678424
1,electricity generation,coal,coal (conv pul),1998,19.74632478
1,electricity generation,coal,coal (conv pul),1999,19.4630163
1,electricity generation,coal,coal (conv pul),2000,20.6024455
1,electricity generation,coal,coal (conv pul),2001,20.75184384
1,electricity generation,coal,coal (conv pul),2002,19.88002562
1,electricity generation,coal,coal (conv pul),2003,20.3073325
1,electricity generation,coal,coal (conv pul),2004,20.450075100000003
1,electricity generation,coal,coal (conv pul),2005,20.8799773
1,electricity generation,coal,coal (conv pul),2006,20.587292180000002
1,electricity generation,coal,coal (conv pul),2007,20.90073986
1,electricity generation,coal,coal (conv pul),2008,20.5974223
1,electricity generation,coal,coal (conv pul),2009,18.29738274
