# Data from L114.RsrcCurves_EJ_R_wind
region,renewresource,smooth.renewable.subresource,year.fillout,maxSubResource,mid.price,curve.exponent
Russia,onshore wind resource,onshore wind resource,1975,264.80725,4.9,3.956
Canada,onshore wind resource,onshore wind resource,1975,159.89354,4.8,3.116
USA,onshore wind resource,onshore wind resource,1975,194.15604,3.7,3.737
China,onshore wind resource,onshore wind resource,1975,131.94968,5.5,3.412
Brazil,onshore wind resource,onshore wind resource,1975,84.24454,5.3,2.832
Australia_NZ,onshore wind resource,onshore wind resource,1975,189.92481,4,3.622
India,onshore wind resource,onshore wind resource,1975,43.91604,8.4,4.14
Argentina,onshore wind resource,onshore wind resource,1975,62.6498,2.5,2.848
Central Asia,onshore wind resource,onshore wind resource,1975,169.55179,3.5,3.628
Africa_Eastern,onshore wind resource,onshore wind resource,1975,140.46652,5.7,3.398
Africa_Northern,onshore wind resource,onshore wind resource,1975,200.46964,6.3,4.723
Africa_Western,onshore wind resource,onshore wind resource,1975,210.25322,6.9,3.434
Indonesia,onshore wind resource,onshore wind resource,1975,1.17049,8,4.729
Mexico,onshore wind resource,onshore wind resource,1975,22.78207,6.5,3.714
Middle East,onshore wind resource,onshore wind resource,1975,123.63666,6.1,5.183
South America_Southern,onshore wind resource,onshore wind resource,1975,31.92596,5,3.033
Africa_Southern,onshore wind resource,onshore wind resource,1975,99.78914,6.5,3.35
South Africa,onshore wind resource,onshore wind resource,1975,26.19496,5.1,4.155
Colombia,onshore wind resource,onshore wind resource,1975,2.82778,10,4.565
South America_Northern,onshore wind resource,onshore wind resource,1975,8.07071,7.5,3.854
Pakistan,onshore wind resource,onshore wind resource,1975,13.55915,6.8,3.768
Europe_Non_EU,onshore wind resource,onshore wind resource,1975,19.06554,5.6,3.665
Southeast Asia,onshore wind resource,onshore wind resource,1975,13.64367,10.4,4.05
South Asia,onshore wind resource,onshore wind resource,1975,14.49685,3.8,2.031
Europe_Eastern,onshore wind resource,onshore wind resource,1975,21.84207,3,5.63
EU-15,onshore wind resource,onshore wind resource,1975,63.57887,3.3,2.498
Japan,onshore wind resource,onshore wind resource,1975,2.16291,3.9,3.092
European Free Trade Association,onshore wind resource,onshore wind resource,1975,8.50782,2.2,2.64
EU-12,onshore wind resource,onshore wind resource,1975,16.81387,3.8,3.745
Central America and Caribbean,onshore wind resource,onshore wind resource,1975,6.5946,5.7,3.089
South Korea,onshore wind resource,onshore wind resource,1975,0.6878,5.7,4.654
Taiwan,onshore wind resource,onshore wind resource,1975,0.16881,4.3,3.051
