# CDIAC sequestration and emissions datasets combined and limited to historical years
# Post-breakup USSR and Yugoslavia numbers used to project back in time
iso,year,liquids.sequestration,solids,liquids,gas,cement,gas.flaring,liquids.shipping
abw,1986,0,0,49,0,0,0,0
abw,1987,0,0,122,0,0,0,0
abw,1988,0,0,167,0,0,0,0
abw,1989,0,0,177,0,0,0,0
abw,1990,0,0,502,0,0,0,0
abw,1991,0,0,526,0,0,0,0
abw,1992,0,0,470,0,0,0,0
abw,1993,0,0,483,0,0,0,0
abw,1994,0,0,481,0,0,0,0
abw,1995,0,0,486,0,0,0,0
abw,1996,0,0,494,0,0,0,0
abw,1997,0,0,505,0,0,0,0
abw,1998,0.84,0,455,0,0,0,53
abw,1999,0.84,0,459,0,0,0,55
abw,2000,0.84,0,609,0,0,0,56
abw,2001,0.84,0,610,0,0,0,58
abw,2002,0.84,0,615,0,0,0,61
abw,2003,0.84,0,615,0,0,0,62
abw,2004,0.84,0,616,0,0,0,62
abw,2005,0.84,0,620,0,0,0,64
abw,2006,0.84,0,620,0,0,0,64
abw,2007,1.67,0,643,0,0,0,66
abw,2008,0.84,0,624,0,0,0,67
abw,2009,0.84,0,626,0,0,0,68
afg,1971,2.51,98,204,120,12,83,3
afg,1972,10.05,52,171,82,13,100,2
afg,1973,4.19,85,192,91,19,61,3
afg,1974,2.51,83,210,109,20,100,3
afg,1975,3.35,109,239,130,20,83,6
afg,1976,3.35,116,241,82,23,80,4
afg,1977,0.84,123,266,140,19,104,2
afg,1978,5.02,157,255,82,17,77,6
afg,1979,4.19,96,318,105,19,73,6
afg,1980,10.88,86,252,51,7,83,13
afg,1981,1.67,91,277,83,10,80,7
afg,1982,1.67,105,271,108,12,77,9
afg,1983,2.51,105,333,168,2,80,10
afg,1984,3.35,107,309,254,15,86,13
afg,1985,2.51,109,422,325,10,90,11
afg,1986,3.35,116,311,328,12,90,9
afg,1987,0.84,121,550,107,14,61,7
afg,1988,3.35,100,497,120,14,51,7
afg,1989,3.35,92,509,131,14,11,7
afg,1990,3.35,76,522,110,15,7,5
afg,1991,2.51,68,484,106,15,7,5
afg,1992,1.67,6,262,99,16,6,5
afg,1993,1.67,5,252,96,16,6,5
afg,1994,1.67,4,242,92,16,6,4
afg,1995,1.67,4,232,88,16,6,4
afg,1996,1.67,2,219,84,16,6,4
afg,1997,1.67,1,203,77,16,6,4
afg,1998,1.67,1,193,72,16,6,4
afg,1999,3.35,1,137,66,16,6,4
afg,2000,3.35,1,138,61,7,6,4
afg,2001,3.35,19,87,57,7,6,4
afg,2002,3.35,15,71,4,8,0,4
afg,2003,2.51,25,121,3,10,0,7
afg,2004,5.86,25,164,2,10,0,0
afg,2005,5.86,24,238,2,8,0,9
afg,2006,5.86,25,312,2,7,0,9
afg,2007,5.86,176,330,2,7,0,9
afg,2008,5.86,251,769,2,7,0,9
afg,2009,5.86,362,1351,2,7,0,9
ago,1971,0,8,449,23,72,379,265
ago,1972,0,2,676,30,85,437,177
ago,1973,0,6,685,34,105,501,185
ago,1974,0,0,669,36,103,522,240
ago,1975,0,0,595,34,89,486,193
ago,1976,0,0,528,30,41,297,147
ago,1977,0,0,293,37,41,593,154
ago,1978,0,0,731,37,54,654,245
ago,1979,0,0,756,37,54,654,274
ago,1980,0,0,725,40,33,659,329
ago,1981,0,0,754,47,34,605,349
ago,1982,5.02,0,589,47,34,599,329
ago,1983,5.02,0,692,54,30,619,380
ago,1984,4.19,0,625,60,48,632,475
ago,1985,5.86,0,535,60,48,639,650
ago,1986,4.19,0,510,67,48,646,641
ago,1987,5.02,0,798,81,48,659,701
ago,1988,5.86,0,520,82,136,661,714
ago,1989,5.86,0,476,87,136,666,718
ago,1990,5.86,0,489,276,35,409,717
ago,1991,5.86,0,425,296,35,435,722
ago,1992,5.86,0,413,291,41,460,349
ago,1993,5.86,0,817,286,34,445,251
ago,1994,5.86,0,354,265,33,409,359
