# File: CCS_provincial_data_add.csv
# Title: CO2 and Cost(1990USD) by province
# Units: CO2-Mt,Cost-1990USD per t CO2
# Description: cost grades of provinces without data
# Source: LA161.Cstorage.R
province.name,grade,Cost_1990USDtC,MtC
Tibet,grade 1,0,0
Tibet,grade 2,280,0
Hainan,grade 1,0,0
Hainan,grade 2,280,0
Fujian,grade 1,0,0
Fujian,grade 2,280,0
Guangdong,grade 1,0,0
Guangdong,grade 2,280,0
Guangxi,grade 1,0,0
Guangxi,grade 2,280,0
Qinghai,grade 1,0,0
Qinghai,grade 2,7.26,113.3
Qinghai,grade 3,12.58,10.3
