INPUT_TABLE
Variable ID
GlobalTranTechShrwt

sector.name,subsector.name,tranTechnology,year,share.weight
trn_aviation_intl,International Aviation,Liquids,1975,1
trn_freight,Domestic Ship,Liquids,1975,1
trn_freight,Freight Rail,Adv-Electric,1975,0
trn_freight,Freight Rail,Adv-Liquid,1975,0
trn_freight,Freight Rail,Coal,1975,1
trn_freight,Freight Rail,Electric,1975,1
trn_freight,Freight Rail,Liquids,1975,1
trn_freight_road,3W Rural,Liquids,1975,1
trn_freight_road,3W Rural,NG,1975,0
trn_freight_road,Truck,Liquids,1975,1
trn_freight_road,Truck,NG,1975,0
trn_freight_road,Truck (>12t),Liquids,1975,1
trn_freight_road,Truck (>12t),NG,1975,0
trn_freight_road,Truck (>14t),Liquids,1975,1
trn_freight_road,Truck (>14t),NG,1975,0
trn_freight_road,Truck (>15t),Liquids,1975,1
trn_freight_road,Truck (>15t),NG,1975,0
trn_freight_road,Truck (>32t),Liquids,1975,1
trn_freight_road,Truck (>32t),NG,1975,0
trn_freight_road,Truck (0-1t),Liquids,1975,1
trn_freight_road,Truck (0-1t),NG,1975,0
trn_freight_road,Truck (0-2.7t),Liquids,1975,1
trn_freight_road,Truck (0-2.7t),NG,1975,0
trn_freight_road,Truck (0-2t),Liquids,1975,1
trn_freight_road,Truck (0-2t),NG,1975,0
trn_freight_road,Truck (0-3.5t),Liquids,1975,1
trn_freight_road,Truck (0-3.5t),NG,1975,0
trn_freight_road,Truck (0-4.5t),Liquids,1975,1
trn_freight_road,Truck (0-4.5t),NG,1975,0
trn_freight_road,Truck (0-6t),Liquids,1975,1
trn_freight_road,Truck (0-6t),NG,1975,0
trn_freight_road,Truck (1-6t),Liquids,1975,1
trn_freight_road,Truck (1-6t),NG,1975,0
trn_freight_road,Truck (16-32t),Liquids,1975,1
trn_freight_road,Truck (16-32t),NG,1975,0
trn_freight_road,Truck (2-5t),Liquids,1975,1
trn_freight_road,Truck (2-5t),NG,1975,0
trn_freight_road,Truck (2.7-4.5t),Liquids,1975,1
trn_freight_road,Truck (2.7-4.5t),NG,1975,0
trn_freight_road,Truck (3.5-16t),Liquids,1975,1
trn_freight_road,Truck (3.5-16t),NG,1975,0
trn_freight_road,Truck (4.5-12t),Liquids,1975,1
trn_freight_road,Truck (4.5-12t),NG,1975,0
trn_freight_road,Truck (4.5-15t),Liquids,1975,1
trn_freight_road,Truck (4.5-15t),NG,1975,0
trn_freight_road,Truck (5-9t),Liquids,1975,1
trn_freight_road,Truck (5-9t),NG,1975,0
trn_freight_road,Truck (6-14t),Liquids,1975,1
trn_freight_road,Truck (6-14t),NG,1975,0
trn_freight_road,Truck (6-15t),Liquids,1975,1
trn_freight_road,Truck (6-15t),NG,1975,0
trn_freight_road,Truck (6-30t),Liquids,1975,1
trn_freight_road,Truck (6-30t),NG,1975,0
trn_freight_road,Truck (9-16t),Liquids,1975,1
trn_freight_road,Truck (9-16t),NG,1975,0
trn_pass,Cycle,Cycle,1975,1
trn_pass,Domestic Aviation,Liquids,1975,1
trn_pass,HSR,Electric,1975,0
trn_pass,Passenger Rail,Electric,1975,1
trn_pass,Passenger Rail,Liquids,1975,1
trn_pass,Passenger Rail,Tech-Adv-Electric,1975,0
trn_pass,Passenger Rail,Tech-Adv-Liquid,1975,0
trn_pass,Walk,Walk,1975,1
trn_pass_road,Bus,Liquids,1975,1
trn_pass_road,Bus,NG,1975,0
trn_pass_road_bus,Heavy Bus,Liquids,1975,1
trn_pass_road_bus,Heavy Bus,NG,1975,0
trn_pass_road_bus,Light Bus,Liquids,1975,1
trn_pass_road_bus,Light Bus,NG,1975,0
trn_pass_road_LDV,Three-Wheeler,Liquids,1975,1
trn_pass_road_LDV,Three-Wheeler,NG,1975,0
trn_pass_road_LDV_2W,Moped,BEV,1975,0
trn_pass_road_LDV_2W,Moped,Liquids,1975,1
trn_pass_road_LDV_2W,Motorcycle (>250cc),BEV,1975,0
trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,1975,1
trn_pass_road_LDV_2W,Motorcycle (50-250cc),BEV,1975,0
trn_pass_road_LDV_2W,Motorcycle (50-250cc),LA-BEV,1975,0
trn_pass_road_LDV_2W,Motorcycle (50-250cc),Liquids,1975,1
trn_pass_road_LDV_2W,Scooter,BEV,1975,0
trn_pass_road_LDV_2W,Scooter,Liquids,1975,1
trn_pass_road_LDV_4W,Compact Car,BEV,1975,0
trn_pass_road_LDV_4W,Compact Car,FCEV,1975,0
trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Compact Car,Liquids,1975,1
trn_pass_road_LDV_4W,Compact Car,NG,1975,0
trn_pass_road_LDV_4W,Large Car,BEV,1975,0
trn_pass_road_LDV_4W,Large Car,FCEV,1975,0
trn_pass_road_LDV_4W,Large Car,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Large Car,Liquids,1975,1
trn_pass_road_LDV_4W,Large Car,NG,1975,0
trn_pass_road_LDV_4W,Large Car and SUV,BEV,1975,0
trn_pass_road_LDV_4W,Large Car and SUV,FCEV,1975,0
trn_pass_road_LDV_4W,Large Car and SUV,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Large Car and SUV,Liquids,1975,1
trn_pass_road_LDV_4W,Large Car and SUV,NG,1975,0
trn_pass_road_LDV_4W,Light Truck and SUV,BEV,1975,0
trn_pass_road_LDV_4W,Light Truck and SUV,FCEV,1975,0
trn_pass_road_LDV_4W,Light Truck and SUV,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,1975,1
trn_pass_road_LDV_4W,Light Truck and SUV,NG,1975,0
trn_pass_road_LDV_4W,Midsize Car,BEV,1975,0
trn_pass_road_LDV_4W,Midsize Car,FCEV,1975,0
trn_pass_road_LDV_4W,Midsize Car,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Midsize Car,Liquids,1975,1
trn_pass_road_LDV_4W,Midsize Car,NG,1975,0
trn_pass_road_LDV_4W,Mini Car,BEV,1975,0
trn_pass_road_LDV_4W,Mini Car,FCEV,1975,0
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Mini Car,Liquids,1975,1
trn_pass_road_LDV_4W,Mini Car,NG,1975,0
trn_pass_road_LDV_4W,Multipurpose Vehicle,BEV,1975,0
trn_pass_road_LDV_4W,Multipurpose Vehicle,FCEV,1975,0
trn_pass_road_LDV_4W,Multipurpose Vehicle,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,1975,1
trn_pass_road_LDV_4W,Multipurpose Vehicle,NG,1975,0
trn_pass_road_LDV_4W,Subcompact Car,BEV,1975,0
trn_pass_road_LDV_4W,Subcompact Car,FCEV,1975,0
trn_pass_road_LDV_4W,Subcompact Car,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Subcompact Car,Liquids,1975,1
trn_pass_road_LDV_4W,Subcompact Car,NG,1975,0
trn_pass_road_LDV_4W,Van,BEV,1975,0
trn_pass_road_LDV_4W,Van,FCEV,1975,0
trn_pass_road_LDV_4W,Van,Hybrid Liquids,1975,0
trn_pass_road_LDV_4W,Van,Liquids,1975,1
trn_pass_road_LDV_4W,Van,NG,1975,0
trn_shipping_intl,International Ship,Liquids,1975,1
trn_aviation_intl,International Aviation,Liquids,1990,1
trn_freight,Domestic Ship,Liquids,1990,1
trn_freight,Freight Rail,Adv-Electric,1990,0
trn_freight,Freight Rail,Adv-Liquid,1990,0
trn_freight,Freight Rail,Coal,1990,1
trn_freight,Freight Rail,Electric,1990,1
trn_freight,Freight Rail,Liquids,1990,1
trn_freight_road,3W Rural,Liquids,1990,1
trn_freight_road,3W Rural,NG,1990,0
trn_freight_road,Truck,Liquids,1990,1
trn_freight_road,Truck,NG,1990,0
trn_freight_road,Truck (>12t),Liquids,1990,1
trn_freight_road,Truck (>12t),NG,1990,0
trn_freight_road,Truck (>14t),Liquids,1990,1
trn_freight_road,Truck (>14t),NG,1990,0
trn_freight_road,Truck (>15t),Liquids,1990,1
trn_freight_road,Truck (>15t),NG,1990,0
trn_freight_road,Truck (>32t),Liquids,1990,1
trn_freight_road,Truck (>32t),NG,1990,0
trn_freight_road,Truck (0-1t),Liquids,1990,1
trn_freight_road,Truck (0-1t),NG,1990,0
trn_freight_road,Truck (0-2.7t),Liquids,1990,1
trn_freight_road,Truck (0-2.7t),NG,1990,0
trn_freight_road,Truck (0-2t),Liquids,1990,1
trn_freight_road,Truck (0-2t),NG,1990,0
trn_freight_road,Truck (0-3.5t),Liquids,1990,1
trn_freight_road,Truck (0-3.5t),NG,1990,0
trn_freight_road,Truck (0-4.5t),Liquids,1990,1
trn_freight_road,Truck (0-4.5t),NG,1990,0
trn_freight_road,Truck (0-6t),Liquids,1990,1
trn_freight_road,Truck (0-6t),NG,1990,0
trn_freight_road,Truck (1-6t),Liquids,1990,1
trn_freight_road,Truck (1-6t),NG,1990,0
trn_freight_road,Truck (16-32t),Liquids,1990,1
trn_freight_road,Truck (16-32t),NG,1990,0
trn_freight_road,Truck (2-5t),Liquids,1990,1
trn_freight_road,Truck (2-5t),NG,1990,0
trn_freight_road,Truck (2.7-4.5t),Liquids,1990,1
trn_freight_road,Truck (2.7-4.5t),NG,1990,0
trn_freight_road,Truck (3.5-16t),Liquids,1990,1
trn_freight_road,Truck (3.5-16t),NG,1990,0
trn_freight_road,Truck (4.5-12t),Liquids,1990,1
trn_freight_road,Truck (4.5-12t),NG,1990,0
trn_freight_road,Truck (4.5-15t),Liquids,1990,1
trn_freight_road,Truck (4.5-15t),NG,1990,0
trn_freight_road,Truck (5-9t),Liquids,1990,1
trn_freight_road,Truck (5-9t),NG,1990,0
trn_freight_road,Truck (6-14t),Liquids,1990,1
trn_freight_road,Truck (6-14t),NG,1990,0
trn_freight_road,Truck (6-15t),Liquids,1990,1
trn_freight_road,Truck (6-15t),NG,1990,0
trn_freight_road,Truck (6-30t),Liquids,1990,1
trn_freight_road,Truck (6-30t),NG,1990,0
trn_freight_road,Truck (9-16t),Liquids,1990,1
trn_freight_road,Truck (9-16t),NG,1990,0
trn_pass,Cycle,Cycle,1990,1
trn_pass,Domestic Aviation,Liquids,1990,1
trn_pass,HSR,Electric,1990,0
trn_pass,Passenger Rail,Electric,1990,1
trn_pass,Passenger Rail,Liquids,1990,1
trn_pass,Passenger Rail,Tech-Adv-Electric,1990,0
trn_pass,Passenger Rail,Tech-Adv-Liquid,1990,0
trn_pass,Walk,Walk,1990,1
trn_pass_road,Bus,Liquids,1990,1
trn_pass_road,Bus,NG,1990,0
trn_pass_road_bus,Heavy Bus,Liquids,1990,1
trn_pass_road_bus,Heavy Bus,NG,1990,0
trn_pass_road_bus,Light Bus,Liquids,1990,1
trn_pass_road_bus,Light Bus,NG,1990,0
